date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-08-18,0.6240509311303128,-25.41900191019583,28.681608573074183,46303921590
2024-08-19,0.02673456699958976,-26.944012883707757,28.260281570532104,46303921590
2024-08-20,-0.5705817971311298,-28.970171169411714,27.97313469284311,46303921590
2024-08-21,-1.1678981612618529,-28.102774974343273,26.29736864047627,46303921590
2024-08-22,-1.7652145253925653,-29.388065088867688,26.00301518709538,46303921590
2024-08-23,-2.3625308895232884,-30.208397606399014,25.167718865181637,46303921590
2024-08-24,-2.9598472536540044,-33.49361525085845,25.889173234164225,46303921590
2024-08-25,-3.557163617784724,-30.537091330087414,25.578225032943713,46303921590
2024-08-26,-4.15447998191544,-30.47802630218773,23.793646141435797,46303921590
2024-08-27,-4.751796346046156,-32.30449828581275,24.09827660609336,46303921590
2024-08-28,-5.349112710176875,-34.887470130055426,20.506119308692316,46303921590
2024-08-29,-5.946429074307602,-34.398002036272345,25.265022018539913,46303921590
2024-08-30,-6.543745438438311,-33.52813986338118,19.17988131743981,46303921590
2024-08-31,-7.1410618025690376,-35.04969805816745,18.89576880507892,46303921590
2024-09-01,-7.738378166699746,-34.501497849753704,21.01463247577127,46303921590
2024-09-02,-8.335694530830473,-35.493166978552324,16.690824738108034,46303921590
2024-09-03,-8.933010894961193,-37.2240672869705,18.16903813246724,46303921590
2024-09-04,-9.530327259091909,-36.761038231188294,16.75843838794201,46303921590
2024-09-05,-10.127643623222625,-39.125537014806554,16.79429873224933,46303921590
2024-09-06,-10.724959987353344,-36.568850990108665,16.895719246848397,46303921590
2024-09-07,-11.32227635148406,-40.09370068916102,16.50917781390702,46303921590
2024-09-08,-11.919592715614778,-36.43284224691989,16.217620794420032,46303921590
2024-09-09,-12.516909079745496,-38.01534093304756,14.550450759374595,46303921590
2024-09-10,-13.114225443876224,-39.2717199523902,16.395317724107112,46303921590
2024-09-11,-13.711541808006931,-41.52045128266225,12.969811147081868,46303921590
2024-09-12,-14.308858172137649,-43.058128258699426,12.630882639602378,46303921590
2024-09-13,-14.906174536268367,-44.18919179125085,13.383860148749484,46303921590
2024-09-14,-15.503490900399084,-43.987039302065476,11.006328544081578,46303921590
2024-08-18,47.291874204450906,10.200996780817412,84.04453690721084,46303774477
2024-08-19,47.43542043802251,8.658242616008232,86.91901445537752,46303774477
2024-08-20,47.57896667159413,11.71879430861074,86.61683248451824,46303774477
2024-08-21,47.72251290516573,8.778809202183588,86.37800637448869,46303774477
2024-08-22,47.86605913873735,9.221034368009251,86.67591145362242,46303774477
2024-08-23,48.009605372308954,10.434733437032488,84.9327096589995,46303774477
2024-08-24,48.15315160588055,12.08718018159576,84.69339683569257,46303774477
2024-08-25,48.29669783945217,11.906990353401888,87.6514347610894,46303774477
2024-08-26,48.44024407302378,10.568665420852893,82.7298549793501,46303774477
2024-08-27,48.58379030659539,8.652027500882214,86.2597047854279,46303774477
2024-08-28,48.727336540166995,13.176459814622795,86.09362802374103,46303774477
2024-08-29,48.8708827737386,12.716988880058492,87.00697638839759,46303774477
2024-08-30,49.01442900731021,12.389410769648768,86.99393113798811,46303774477
2024-08-31,49.157975240881825,13.803064945599383,87.13596895618653,46303774477
2024-09-01,49.30152147445343,14.102342811366832,86.50886907893539,46303774477
2024-09-02,49.445067708025036,11.396556140056303,85.03220035752436,46303774477
2024-09-03,49.58861394159665,13.585597104839094,88.56079141884808,46303774477
2024-09-04,49.732160175168254,12.666996849983322,90.0788325105323,46303774477
2024-09-05,49.875706408739866,9.548971443139502,86.26792083784169,46303774477
2024-09-06,50.01925264231147,15.645732633264336,89.9699096889629,46303774477
2024-09-07,50.16279887588308,15.029089818803937,87.48552815728948,46303774477
2024-09-08,50.30634510945469,13.555594014367854,88.7678404164371,46303774477
2024-09-09,50.449891343026295,10.595287019516359,87.09069166834087,46303774477
2024-09-10,50.593437576597914,10.029256089806166,88.04671584783327,46303774477
2024-09-11,50.73698381016951,11.079705083373238,87.8487711755239,46303774477
2024-09-12,50.88053004374112,14.310250880241618,90.90786332502505,46303774477
2024-09-13,51.02407627731274,11.112050431116181,90.34043991217531,46303774477
2024-09-14,51.167622510884335,15.238325130050116,86.08664984408996,46303774477
2024-08-18,127.17700274436726,89.35396346023535,164.6806490512214,46303862950
2024-08-19,128.42612273201235,92.78154245913373,165.38039167137552,46303862950
2024-08-20,129.67524271965743,93.41501648072769,167.40678039879256,46303862950
2024-08-21,130.92436270730255,93.35040258612086,169.69620748604385,46303862950
2024-08-22,132.1734826949476,95.0897003925815,168.33747021054165,46303862950
2024-08-23,133.42260268259272,99.08855771314234,170.74000027759234,46303862950
2024-08-24,134.6717226702378,98.42302911092311,169.99502300856383,46303862950
2024-08-25,135.9208426578829,101.72598136148848,171.39282847124315,46303862950
2024-08-26,137.169962645528,97.93945171510775,173.35631651503434,46303862950
2024-08-27,138.4190826331731,102.3830023280078,175.44461146456004,46303862950
2024-08-28,139.66820262081816,103.67833615206797,179.20927354822192,46303862950
2024-08-29,140.91732260846328,102.59105876323153,179.06873757883935,46303862950
2024-08-30,142.16644259610837,105.34725320306909,180.8758998078566,46303862950
2024-08-31,143.41556258375346,107.28339100804112,181.00590468270445,46303862950
2024-09-01,144.66468257139854,107.70745113826275,178.77566055756574,46303862950
2024-09-02,145.91380255904363,110.95047825779884,184.20234560672515,46303862950
2024-09-03,147.16292254668872,110.66230255012229,181.25952227196566,46303862950
2024-09-04,148.4120425343338,108.6119031666388,184.6498346673365,46303862950
2024-09-05,149.6611625219789,108.90867840569562,185.73976362925816,46303862950
2024-09-06,150.91028250962398,113.1063528153343,188.03256430505468,46303862950
2024-09-07,152.15940249726907,116.65414903053083,188.95230651507748,46303862950
2024-09-08,153.4085224849142,116.72182650441354,193.63989027459513,46303862950
2024-09-09,154.65764247255927,117.46460836324812,190.91030990856567,46303862950
2024-09-10,155.90676246020436,118.11544377925522,194.76450628708304,46303862950
2024-09-11,157.15588244784945,120.57670027237802,192.9570765867197,46303862950
2024-09-12,158.40500243549454,123.50210640532065,196.48619199503645,46303862950
2024-09-13,159.65412242313963,121.48797081641078,200.3967131793263,46303862950
2024-09-14,160.9032424107847,124.1220328561808,199.58644304872055,46303862950
